Magnitude,Place,Longitude,Latitude
0.76,"25 km SSE of West Yellowstone, Montana",-110.995,44.4473333333333
1.65,"6 km NW of San Francisco Zoo, CA",-122.558334350586,37.7576675415039
1.8,"11 km NNE of Chase, Alaska",-149.9938,62.5354
0.1,"47 km E of Beatty, Nevada",-116.2307,36.8351
4.5,"81 km N of Barishal, Pakistan",74.7209,37.0518
3.13,"19 km NNE of Honoka‘a, Hawaii",-155.421833333333,20.2505
0.76,"6 km NNW of The Geysers, CA",-122.800163269043,38.8238334655762
1.6,"16 km NE of Yerington, Nevada",-119.0247,39.0901
1.0,"16 km NE of Yerington, Nevada",-119.0159,39.0819
-0.25,"70 km WNW of Beluga, Alaska",-152.315666666667,61.3495
-1.06,"78 km NW of Ninilchik, Alaska",-152.767833333333,60.4883333333333
1.73,"11 km ENE of Coso Junction, CA",-117.8305,36.0836667
2.9,"46 km NW of Toyah, Texas",-104.183,31.574
1.21,"5 km NNE of Banning, CA",-116.8631667,33.9685
0.76,"4 km NNW of The Geysers, CA",-122.78133392334,38.8115005493164
2.0,"80 km E of Ugashik, Alaska",-156.0591,57.4359
3.17,"19 km NNE of Honoka‘a, Hawaii",-155.425,20.2473333333333
1.14,"1 km SSW of Julian, CA",-116.6048333,33.067
1.15,"0 km SSE of Julian, CA",-116.6011667,33.076
0.8,"58 km NE of Whittier, Alaska",-147.8783,61.1188
1.62,"14 km WNW of Progreso, B.C., MX",-115.7163333,32.6401667
1.9,"17 km NW of Happy Valley, Alaska",-151.9926,60.0375
1.7,"13 km NNW of Nikiski, Alaska",-151.3654,60.806
0.69,"12 km NW of The Geysers, CA",-122.876167297363,38.8338317871094
1.51,"6 km ENE of Butte, Montana",-112.456333333333,46.0191666666667
1.12,"33 km E of Lima, Montana",-112.176666666667,44.6611666666667
2.7,"20 km N of Honoka‘a, Hawaii",-155.436,20.2586666666667
1.04,"2 km NW of The Geysers, CA",-122.77783203125,38.7911682128906
-0.1,"71 km WNW of Beluga, Alaska",-152.337,61.346
0.7,"44 km WNW of Tyonek, Alaska",-151.8938,61.2193
-0.32,"45 km WNW of Beluga, Alaska",-151.9065,61.2425
4.5,"216 km S of Sarangani, Philippines",125.7107,3.4594
2.6,"54 km S of Whites City, New Mexico",-104.307,31.689
3.11,"19 km NE of Kukuihaele, Hawaii",-155.448333333333,20.2586666666667
1.78,"5 km NW of Logan, Montana",-111.470833333333,45.925
1.8,"51 km NNW of Gabbs, Nevada",-118.095,39.316
0.45,"102 km WNW of Aleneva, Alaska",-154.445333333333,58.505
2.85,"5 km NW of San Francisco Zoo, CA",-122.555166666667,37.757
-0.93,"66 km WNW of Beluga, Alaska",-152.255666666667,61.3188333333333
1.87,"4 km NE of Discovery Bay, CA",-121.5693359375,37.9396667480469
1.69,"4 km SE of Home Gardens, CA",-117.4955,33.8473333
-0.57,"69 km WNW of Beluga, Alaska",-152.294,61.3493333333333
0.86,"11 km ESE of Anza, CA",-116.5675,33.5065
-0.61,"63 km WNW of Tyonek, Alaska",-152.245,61.2736666666667
0.77,"4 km WNW of Cobb, CA",-122.765167236328,38.8238334655762
-0.48,"71 km WNW of Beluga, Alaska",-152.336,61.3673333333333
1.7,"19 km SW of Mentone, Texas",-103.717,31.564
4.5,"92 km WNW of Aykol, China",79.1268,41.2879
2.54,"5 km NW of San Francisco Zoo, CA",-122.55549621582,37.7571678161621
-0.43,"66 km WNW of Beluga, Alaska",-152.254833333333,61.3285
1.8,"45 km NNW of Valdez, Alaska",-146.5664,61.527
2.2,"52 km SSE of Whites City, New Mexico",-104.18,31.736
1.82,"7 km NE of Fall City, Washington",-121.808,47.60766666666667
4.0,"11 km NNE of Bintuni, Indonesia",133.577,-2.0249
4.4,"36 km ESE of Hengchun, Taiwan",121.0861,21.9355
1.56,"18 km NNW of Parkfield, CA",-120.571662902832,36.0168342590332
1.3,"14 km ESE of Hawthorne, Nevada",-118.4719,38.4821
1.61,"7 km NW of The Geysers, CA",-122.821502685547,38.8183326721191
1.5,"51 km SSE of Whites City, New Mexico",-104.174,31.742
1.41,"24 km NW of Bickleton, Washington",-120.543,46.1385
0.74,"23 km W of Sitka, Alaska",-135.7135,57.0691666666667
1.03,"14 km W of Johannesburg, CA",-117.7896667,35.3515
0.45,"8 km WNW of Cobb, CA",-122.813835144043,38.8368339538574
1.04,"25 km W of Dutch Harbor, Alaska",-166.9255,53.8866666666667
4.7,"277 km SW of Gizo, Solomon Islands",154.9923,-9.8079
1.6,"17 km SE of Manley Hot Springs, Alaska",-150.4322,64.8748
2.6,"22 km NNE of Yerington, Nevada",-119.0451,39.1672
1.9,"29 km WSW of Tanana, Alaska",-152.6396,65.0569
1.67,"13 km W of Alberto Oviedo Mota, B.C., MX",-115.306,32.2368333
2.0,"10 km WSW of Homer, Alaska",-151.7368,59.6217
1.07,"6 km NW of The Geysers, CA",-122.81916809082,38.8004989624023
0.71,"6 km NW of The Geysers, CA",-122.819000244141,38.800666809082
0.34,"8 km NNW of The Geysers, CA",-122.810165405273,38.8305015563965
1.1,"12 km W of Stanton, Texas",-101.922,32.116
-0.95,"76 km NW of Ninilchik, Alaska",-152.737166666667,60.49
1.1,"156 km W of Adak, Alaska",-178.897833333333,51.7718333333333
1.9,"23 km W of Stevens Village, Alaska",-149.6128,66.0002
0.2,"42 km WNW of Indian Springs, Nevada",-116.124,36.6767
0.91,"9 km NW of The Geysers, CA",-122.84366607666,38.8213348388672
2.19,"5 km NW of San Francisco Zoo, CA",-122.55583190918,37.7516670227051
2.45,"11 km WSW of Dunnigan, CA",-122.061500549316,38.8160018920898
3.55,"5 km NW of San Francisco Zoo, CA",-122.551833333333,37.755
0.76,"9 km NW of The Geysers, CA",-122.84383392334,38.821834564209
4.2,"97 km E of Levuka, Fiji",-179.7656,-18.1764
1.8,"1 km E of Dixon Lane-Meadow Creek, California",-118.3949,37.3871
0.31,"21 km SSE of Royal City, Washington",-119.55733333333333,46.711166666666664
1.7,"17 km W of Anchorage, Alaska",-150.2297,61.2077
4.8,southeast of Easter Island,-101.6942,-35.261
0.73,"5 km NW of The Geysers, CA",-122.810165405273,38.7996673583984
0.66,"5 km NW of The Geysers, CA",-122.806663513184,38.7996673583984
0.76,"5 km NW of The Geysers, CA",-122.806831359863,38.7994995117188
1.21,"5 km NW of The Geysers, CA",-122.807830810547,38.7996673583984
-0.07,"70 km WNW of Tyonek, Alaska",-152.352166666667,61.3081666666667
0.79,"5 km NW of The Geysers, CA",-122.8056640625,38.7988319396973
1.5,"20 km ESE of Elmendorf Air Force Base, Alaska",-149.304,61.1701
1.1,"13 km E of Bishop, California",-118.2448,37.3583
2.0,"32 km SSE of Egegik, Alaska",-157.137,57.9512
1.07,"5 km NW of The Geysers, CA",-122.807662963867,38.7991676330566
1.87,"5 km NW of The Geysers, CA",-122.806831359863,38.7985000610352
1.26,"5 km NW of The Geysers, CA",-122.806663513184,38.7994995117188
1.65,"5 km NW of The Geysers, CA",-122.806663513184,38.7985000610352
-0.49,"83 km NNW of Karluk, Alaska",-155.107,58.235
1.34,"5 km NW of The Geysers, CA",-122.806831359863,38.798999786377
1.08,"5 km NW of The Geysers, CA",-122.806831359863,38.7996673583984
1.31,"5 km NW of The Geysers, CA",-122.806999206543,38.7985000610352
0.6,"8 km WNW of Cobb, CA",-122.817665100098,38.836498260498
1.7,"49 km N of Petersville, Alaska",-150.6313,62.9395
0.77,"6 km NW of The Geysers, CA",-122.815330505371,38.7986679077148
-0.65,"78 km NW of Ninilchik, Alaska",-152.757166666667,60.4971666666667
0.83,"23 km W of Sitka, Alaska",-135.720166666667,57.0613333333333
1.17,"3 km N of Onalaska, Washington",-122.70983333333334,46.606833333333334
-0.3,"26 km W of Hebgen Lake Estates, Montana",-111.519,44.8071666666667
2.07,"4 km WSW of Culver City, CA",-118.4286667,34.005
2.3,"55 km S of Whites City, New Mexico",-104.387,31.675
4.8,"9 km SSW of Āwash, Ethiopia",40.1286,8.9068
1.1,"37 km ENE of McKinney Acres, Texas",-102.156,32.423
1.4,"1 km S of Julian, CA",-116.6016667,33.0736667
-0.88,"64 km ENE of Pedro Bay, Alaska",-153.0655,60.0313333333333
1.4,"11 km SE of Livermore, CA",-121.653831481934,37.6381683349609
-0.84,"61 km WNW of Tyonek, Alaska",-152.190166666667,61.2788333333333
0.71,"8 km NNW of The Geysers, CA",-122.817832946777,38.8310012817383
1.8,"15 km W of Anchorage, Alaska",-150.1916,61.1947
-0.8,"64 km ENE of Pedro Bay, Alaska",-153.084166666667,60.0561666666667
2.0,"8 km SE of Pearsall, Texas",-99.042,28.829
2.1,"51 km NNE of Chickaloon, Alaska",-148.2007,62.2464
2.24,"20 km SE of El Negro, Puerto Rico",-65.6933333333333,17.9286666666667
1.38,"11 km NNE of Pinnacles, CA",-121.139167785645,36.628833770752
0.71,"8 km WNW of Cobb, CA",-122.812164306641,38.8390007019043
1.6,"13 km SE of Susitna North, Alaska",-149.6766,62.0748
2.3,"59 km W of Anchor Point, Alaska",-152.8858,59.7031
0.41000000000000003,"37 km NNE of Amboy, Washington",-122.18633333333334,46.19716666666667
2.5,"51 km SSE of Whites City, New Mexico",-104.175,31.746
1.34,"21 km NE of Big Bear City, CA",-116.6666667,34.3791667
2.2,"64 km SE of Denali National Park, Alaska",-150.8601,63.1115
4.7,Mid-Indian Ridge,66.7272,-9.6706
1.15,"15 km NE of Little Lake, CA",-117.7793333,36.0241667
2.5,"15 km SE of Knik-Fairview, Alaska",-149.3671,61.4285
2.2,"71 km SSE of Cantwell, Alaska",-148.2403,62.8338
-0.49,"78 km NW of Ninilchik, Alaska",-152.753333333333,60.5078333333333
-0.4,"77 km NW of Ninilchik, Alaska",-152.763666666667,60.4808333333333
-0.59,"73 km NW of Ninilchik, Alaska",-152.689833333333,60.4758333333333
-0.67,"75 km NW of Ninilchik, Alaska",-152.7675,60.4485
-0.79,"76 km NW of Ninilchik, Alaska",-152.767333333333,60.4728333333333
-0.87,"76 km NW of Ninilchik, Alaska",-152.7405,60.4778333333333
1.71,"15 km NNE of Barstow, CA",-116.986,35.0331667
2.35,"2 km NNW of Marston, Missouri",-89.6188333333333,36.54
1.07,"2 km NNW of The Geysers, CA",-122.766166687012,38.7941665649414
1.4,"17 km WSW of Falls City, Texas",-98.176,28.904
0.16,"29 km WNW of Hebgen Lake Estates, Montana",-111.5595,44.828
2.0,"53 km NE of Chitina, Alaska",-143.8075,61.896
1.78,"12 km S of Volcano, Hawaii",-155.216171264648,19.3271675109863
2.07,"14 km S of Volcano, Hawaii",-155.2155,19.3175
4.6,"172 km NE of Lospalos, Timor Leste",128.1508,-7.4714
2.3,"37 km ENE of Pedro Bay, Alaska",-153.4662,59.8826
-0.95,"78 km NW of Ninilchik, Alaska",-152.7895,60.4758333333333
1.8,"13 km SSE of Susitna North, Alaska",-149.7399,62.0524
0.83,"8 km NW of The Geysers, CA",-122.828834533691,38.8233337402344
1.26,"8 km NNW of The Geysers, CA",-122.8125,38.829833984375
4.7,"0 km SSW of Metahāra, Ethiopia",39.914,8.8947
0.9,"5 km NW of Aguanga, CA",-116.8963333,33.4761667
1.7,"46 km NW of Toyah, Texas",-104.178,31.579
-0.27,"65 km ENE of Pedro Bay, Alaska",-153.056,60.0393333333333
-0.9,"77 km NW of Ninilchik, Alaska",-152.769166666667,60.4785
1.31,"3 km NNW of Duvall, Washington",-122.004,47.76983333333333
1.7,"26 km WNW of Clayton, Idaho",-114.682166666667,44.389
0.2,"71 km NNW of Karluk, Alaska",-154.964,58.1531666666667
1.46,"14 km NE of Ridgecrest, CA",-117.5695,35.714
0.26,"36 km W of Nikiski, Alaska",-151.954166666667,60.7371666666667
0.75,"7 km NW of The Geysers, CA",-122.818832397461,38.8144989013672
1.6,"55 km S of Whites City, New Mexico",-104.392,31.673
0.74,"8 km NNW of The Geysers, CA",-122.817337036133,38.832332611084
1.13,"4 km SE of Loma Linda, CA",-117.2223333,34.0241667
0.82,"5 km SE of Loma Linda, CA",-117.2211667,34.0213333
1.26,"6 km SSE of Lytle Creek, CA",-117.4665,34.2161667
1.92,"89 km W of Adak, Alaska",-177.932,51.8618333333333
0.91,"8 km NNE of Borrego Springs, CA",-116.3565,33.324
1.8,"11 km WSW of Ferry, Alaska",-149.3241,63.9717
2.61,"1 km N of Maria Antonia, Puerto Rico",-66.8873333333333,17.9941666666667
-0.69,"64 km WNW of Beluga, Alaska",-152.214166666667,61.3473333333333
1.8,"54 km S of Whites City, New Mexico",-104.397,31.687
1.5,"21 km NNE of Yerington, Nevada",-119.0475,39.1603
-0.6,"79 km NW of Ninilchik, Alaska",-152.767166666667,60.5038333333333
5.6,"29 km SW of Bahía Solano, Colombia",-77.5689,6.0156
0.93,"8 km NNW of The Geysers, CA",-122.818832397461,38.8305015563965
1.6,"35 km NW of Toyah, Texas",-104.015,31.572
1.3,"13 km ESE of Hawthorne, Nevada",-118.4822,38.4859
1.18,"6 km NNE of Lake Henshaw, CA",-116.7496667,33.2908333
-0.23,"63 km WNW of Tyonek, Alaska",-152.243333333333,61.268
1.52,"5 km SW of Yountville, CA",-122.396331787109,38.361499786377
2.2,"62 km W of Anchor Point, Alaska",-152.9507,59.8073
1.0,"3 km SW of Midland, Texas",-102.106,31.978
-0.99,"84 km NW of Ninilchik, Alaska",-152.889666666667,60.5005
0.55,"9 km WNW of Cobb, CA",-122.827331542969,38.8409996032715
1.9,"97 km WNW of Aleneva, Alaska",-154.3748,58.464
1.31,"34 km N of Searles Valley, CA",-117.4343333,36.076
2.64,"16 km WNW of Round Mountain, CA",-122.126663208008,40.8248329162598
1.3,"16 km NE of Yerington, Nevada",-119.0195,39.0863
-0.08,"63 km WNW of Tyonek, Alaska",-152.242833333333,61.2675
1.01,"14 km E of North Saanich, Canada",-123.22433333333333,48.67883333333333
4.9,"37 km ENE of Hinatuan, Philippines",126.6482,8.5144
0.94,"31 km N of Spencer, Idaho",-112.166333333333,44.6476666666667
1.31,"9 km NE of Alum Rock, CA",-121.767166137695,37.4296684265137
1.5,"59 km S of Whites City, New Mexico",-104.479,31.643
0.08,"65 km WNW of Beluga, Alaska",-152.243166666667,61.3268333333333
1.7,"59 km NW of Toyah, Texas",-104.29,31.639
1.8,"42 km NE of Whittier, Alaska",-148.2118,61.0738
1.3,"16 km NE of Yerington, Nevada",-119.0262,39.0923
4.5,"33 km NNW of Āwash, Ethiopia",40.0253,9.2495
1.63,"3 km SW of Willowbrook, CA",-118.2745,33.8946667
0.8,"83 km NNW of Karluk, Alaska",-154.84,58.2896666666667
1.53,"7 km NW of The Geysers, CA",-122.822998046875,38.8190002441406
0.77,"84 km NNW of Karluk, Alaska",-154.985666666667,58.2688333333333
4.6,Macquarie Island region,160.3822,-52.7015
4.4,"49 km NNW of Āwash, Ethiopia",40.0432,9.4116
0.82,"3 km SW of Townsend, Montana",-111.559666666667,46.3006666666667
-0.62,"65 km WNW of Beluga, Alaska",-152.242333333333,61.3268333333333
0.93,"1 km NNE of The Geysers, CA",-122.756164550781,38.78466796875
1.7,"33 km NNW of Sutton-Alpine, Alaska",-148.9732,62.0604
1.9,"23 km NW of Nanwalek, Alaska",-152.2472,59.4922
2.2,"11 km ESE of Smith, Nevada",-119.2151,38.7463
1.3,"12 km SE of Bodfish, CA",-118.391,35.512
-0.83,"74 km NW of Ninilchik, Alaska",-152.693333333333,60.4806666666667
-0.05,"63 km NW of Ninilchik, Alaska",-152.580333333333,60.4011666666667
0.76,"1 km NW of The Geysers, CA",-122.76782989502,38.7859992980957
1.8,"111 km S of McCarthy, Alaska",-143.054,60.4375
4.1,"17 km SW of Uzunbağ, Turkey",35.9272,36.0139
2.28,"3 km S of Round Valley, CA",-118.596832275391,37.3908348083496
1.55,"6 km S of Pearblossom, CA",-117.913,34.4523333
0.9,"7 km E of Borrego Springs, CA",-116.301,33.254
2.69,"55 km SE of Pāhala, Hawaii",-155.052,18.9105
1.06,"13 km E of Cloverdale, CA",-122.877670288086,38.8438339233398
1.4,"18 km NNE of Yerington, Nevada",-119.083,39.1367
1.8,"57 km NW of Tatitlek, Alaska",-147.4391,61.2221
1.4,"63 km E of Pedro Bay, Alaska",-152.9806,59.8399
1.7,"61 km W of Austin, Nevada",-117.7761,39.4125
2.2,"28 km NNE of Ugashik, Alaska",-157.2191,57.7534
2.2,"35 km SE of Egegik, Alaska",-156.9277,58.006
1.85,"6 km SSW of Thatcher, Utah",-112.337,41.6428333333333
1.2,"2 km NW of The Geysers, CA",-122.77766418457,38.7890014648438
4.2,"10 km ESE of Sarpol-e Z̄ahāb, Iran",45.9699,34.44
2.3,"33 km SSE of Egegik, Alaska",-157.1138,57.9441
-0.81,"64 km ENE of Pedro Bay, Alaska",-153.073666666667,60.0493333333333
2.35,"37 km NNE of Covelo, CA",-123.167167663574,40.1196670532227
-0.83,"64 km WNW of Beluga, Alaska",-152.244333333333,61.3021666666667
-0.54,"64 km WNW of Tyonek, Alaska",-152.256666666667,61.276
-0.63,"64 km WNW of Tyonek, Alaska",-152.2525,61.277
-0.79,"66 km WNW of Tyonek, Alaska",-152.301666666667,61.2773333333333
1.0,"56 km W of Tyonek, Alaska",-152.1836,61.0791
4.5,"11 km ESE of Camiña, Chile",-69.3217,-19.3369
1.1,"19 km NNE of Yerington, Nevada",-119.0668,39.141
0.8,"18 km ENE of Thousand Palms, CA",-116.2133333,33.8835
4.2,"161 km NE of Mişrātah, Libya",16.4419,33.2763
2.42,"7 km NNW of Loyal, Oklahoma",-98.1535,36.03233333
2.1,"19 km NNE of Yerington, Nevada",-119.0749,39.1432
-0.84,"63 km WNW of Tyonek, Alaska",-152.239666666667,61.2693333333333
0.44,"14 km ENE of Mammoth Lakes, CA",-118.850166666667,37.7048333333333
0.59,"24 km SSW of Mammoth, Wyoming",-110.768166666667,44.761
5.1,"81 km W of Pangai, Tonga",-175.1239,-19.7318
0.77,"8 km NW of The Geysers, CA",-122.822998046875,38.8214988708496
1.3,"12 km ENE of Coso Junction, CA",-117.8295,36.0843333
0.92,"14 km SSE of Anza, CA",-116.6358333,33.4301667
2.18,"31 km SSE of Egegik, Alaska",-157.207333333333,57.9428333333333
1.4,"12 km E of Hawthorne, Nevada",-118.4786,38.5062
2.6,"152 km W of Langlois, Oregon",-126.3054,43.1278
2.1,"30 km SE of Egegik, Alaska",-157.058,58.003
-0.36,"65 km ENE of Pedro Bay, Alaska",-153.059333333333,60.046
1.9,"16 km E of Ferry, Alaska",-148.7908,64.0307
2.7,"26 km SSE of Egegik, Alaska",-157.198,58.0016
1.8,"6 km SE of Pearsall, Texas",-99.051,28.849
4.0,"37 km SSE of Egegik, Alaska",-157.067,57.9211
0.97,"14 km NE of Julian, CA",-116.4826667,33.154
1.4,"9 km ENE of Fox, Alaska",-147.4349,64.9997
1.2,"21 km NNE of Yerington, Nevada",-119.041,39.1524
1.9,"15 km ESE of Ninilchik, Alaska",-151.4267,59.9888
1.42,"14 km SE of Bodfish, CA",-118.3993333,35.4931667
0.69,"8 km WNW of Cobb, CA",-122.810997009277,38.839168548584
2.7,"33 km WSW of Nanwalek, Alaska",-152.4961,59.2904
0.71,"8 km WNW of Cobb, CA",-122.810997009277,38.8393325805664
2.3,"69 km N of Petersville, Alaska",-150.6267,63.1187
0.82,"23 km ESE of Anza, CA",-116.4441667,33.4831667
1.08,"10 km NNW of Big Bear City, CA",-116.8873333,34.339
1.8,"61 km ESE of Denali National Park, Alaska",-150.6945,63.2417
2.02,"22 km ESE of Anza, CA",-116.4531667,33.4821667
1.84,"7 km WNW of Butte Falls, Oregon",-122.658,42.56216666666667
2.1,"8 km SE of Pearsall, Texas",-99.04,28.836
2.4,"24 km NNE of Yerington, Nevada",-119.0224,39.1751
0.27,"7 km NNW of The Geysers, CA",-122.805999755859,38.821834564209
1.49,"3 km NNW of The Geysers, CA",-122.770835876465,38.8009986877441
1.39,"3 km NNW of The Geysers, CA",-122.770835876465,38.8003349304199
0.78,"7 km NNW of The Geysers, CA",-122.813835144043,38.8231658935547
0.76,"9 km NW of The Geysers, CA",-122.846496582031,38.8226661682129
2.26,"14 km SSE of Isla Vista, CA",-119.8075,34.2976667
1.42,"27 km WNW of Clayton, Idaho",-114.690666666667,44.391
0.7,"6 km NNW of The Geysers, CA",-122.797996520996,38.8153343200684
1.14,"8 km NNW of Ojai, CA",-119.2896667,34.5088333
1.9,"14 km WNW of Central, Alaska",-145.0948,65.6267
1.7,"2 km SSW of Willow, Alaska",-150.0491,61.7258
1.24,"16 km WNW of Emery, Utah",-111.409,39.0016666666667
0.8,"8 km WNW of West Glacier, Montana",-114.078166666667,48.5316666666667
0.72,"9 km WNW of Cobb, CA",-122.822830200195,38.8400001525879
2.1,"63 km S of Whites City, New Mexico",-104.467,31.612
4.7,"32 km N of Camiña, Chile",-69.4499,-19.0178
0.65,"29 km WNW of Hebgen Lake Estates, Montana",-111.552833333333,44.8311666666667
1.18,"11 km SE of Livermore, CA",-121.661666870117,37.6386680603027
2.26,"14 km SSE of Isla Vista, CA",-119.8116667,34.2953333
1.23,"3 km SSE of Home Gardens, CA",-117.51,33.8535
1.5,"16 km NE of Yerington, Nevada",-119.0256,39.0943
0.62,"17 km ESE of Anza, CA",-116.5031667,33.5026667
1.8,"13 km W of Midland, Texas",-102.219,32.009
1.5,"56 km S of Whites City, New Mexico",-104.344,31.666
1.47,"6 km E of Butte, Montana",-112.457666666667,46.0095
1.97,"4 km NNW of The Geysers, CA",-122.77766418457,38.8043327331543
1.08,"5 km NW of The Geysers, CA",-122.802833557129,38.8050003051758
2.5,"3 km SSW of Seldovia, Alaska",-151.7328,59.4087
1.82,"13 km WNW of Mojave, CA",-118.3053333,35.0875
1.51,"1 km NE of The Geysers, CA",-122.749000549316,38.7876663208008
1.05,"8 km WNW of Cobb, CA",-122.814834594727,38.833667755127
1.6,"51 km S of Whites City, New Mexico",-104.272,31.72
2.91,"16 km SSE of Isla Vista, CA",-119.7956667,34.2831667
1.63,"12 km SSE of Isla Vista, CA",-119.8085,34.3103333
1.5,"62 km S of Whites City, New Mexico",-104.494,31.625
0.75,"7 km NW of The Geysers, CA",-122.816497802734,38.8201675415039
3.08,"21 km NW of Grapevine, CA",-119.0935,35.0808333
1.91,"14 km S of Fern Forest, Hawaii",-155.123001098633,19.3379993438721
4.5,"76 km SSE of Pondaguitan, Philippines",126.3875,5.7003
1.1,"11 km W of Stanton, Texas",-101.915,32.122
0.46,"2 km  of The Geysers, CA",-122.765502929688,38.7958335876465
1.39,"2 km NE of Helper, Utah",-110.832666666667,39.6993333333333
1.03,"2 km NW of The Geysers, CA",-122.771003723145,38.785831451416
2.0,"12 km SE of Pearsall, Texas",-98.999,28.818
3.08,"14 km S of Fern Forest, Hawaii",-155.125833333333,19.3366666666667
4.4,"84 km NE of Lobuche, Nepal",87.3397,28.5459
1.4,"24 km NNE of Yerington, Nevada",-119.021,39.1734
2.5,"12 km W of Nanwalek, Alaska",-152.133,59.3566
0.09,"10 km E of Ashford, Washington",-121.89683333333333,46.747
